"","akt"
"IGFBP5",5.58392005337378
"CA9",4.5293108109414
"BEX1",3.42464108476901
"EPGN",3.05792194739749
"DDIT4",3.02113269514021
"KRT14",3.15905706745995
"IGFBP2",3.13515625164254
"ABCG1",-3.38792652979828
"TUBA4A",2.89972487607553
"AKAP12",-3.03693511587689
"GPC4",-3.59774552341993
"NEDD9",-3.11576161628071
"LIF",-3.0019704935213
"TNFAIP2",-2.99982008948895
"AKT1",2.61629857708602
"PTGES",2.99334747714604
"GJA1",2.63007285885343
"ALDOC",2.60386512656639
"PLA2G4A",2.83630092481011
"CXCL5",-3.39291260690538
"AKT3",-2.64727613506354
"SPRR2A",2.85458235837662
"TLR2",-2.92119889268508
"GLUL",-2.67537099503838
"IFITM10",2.50570167686512
"INHBA",-2.63915322806656
"TMEM139",-3.00319420565071
"LPAR3",2.35451355786278
"SERPINB7",2.46301164572848
"C10orf10",-2.50421372799698
"SNAI2",-2.80543507027042
"LOC100499467",2.5703355572188
"SLC6A11",2.46019081838092
"AFAP1L2",-2.43526627195317
"BMP7",2.78086336477638
"GALNT6",2.35599783139522
"ICAM1",-2.7393765164861
"SIPA1L2",2.31778047770694
"MFAP3L",-2.46318804025837
"CX3CL1",-3.08432916381824
"PPP1R3C",2.23489983297224
"MT1X",2.34120987801487
"SLC1A6",2.32337564853994
"SPOCD1",-2.36133375691993
"CXCL14",2.38997938920139
"PKP1",2.69794202683943
"SECTM1",2.62962205999385
"WISP2",2.25819109857847
"RHOB",2.27841073061062
"CA2",2.06658511767086
"LBH",-2.22948336456832
"ESR1",2.14078726623828
"HAS3",2.12043082184603
"TGFB3",2.55524428788608
"CDK14",-2.15838361369605
"CKB",1.97874180219519
"ADAM19",-2.19919465137987
"BGN",2.42844277481581
"F2R",-2.46249294208631
"HOXB2",-2.75431836251308
"CXCL2",-2.27654671345587
"PLSCR4",-2.12935690050127
"CALD1",-2.66049406660304
"C14orf132",-2.95144167466553
"RAI14",-2.25756374374854
"PION",-2.2391170796973
"KRT8",1.98842282621654
"ITGB3",-2.16353244492802
"CASP14",2.78229946419693
"WNT5B",-2.79290938428624
"MYBL1",-2.43251648596195
"PODXL",-2.57958931606605
"NPNT",2.56756807383406
"DUSP6",-2.45284644189954
"CCNDBP1",-2.13004660164395
