"","igf1r"
"IGF1R",6.44838062974682
"C17orf28",5.90939531114271
"ANXA6",5.40928406636507
"PSAT1",4.66651114473302
"STC2",4.68357149762714
"RND1",4.20650278547352
"AGR2",7.5896855687684
"SLC2A10",4.36151266889512
"DDR2",4.32354254083007
"BHLHA15",3.97886184715621
"PTX3",3.69577097618965
"CNTD2",3.66992451208151
"ALDH1L2",3.73631939533554
"DNAJA4",-3.61633513074279
"CHAC1",3.62142951475574
"SLFN11",3.73404474516675
"NUCB2",3.54428720159544
"CCNO",3.62647449799134
"SLC7A11",3.54412384860193
"TUBB3",3.38158156487471
"ESRP1",3.59200361501269
"COL1A2",4.40920491959764
"CDC6",3.28982295877112
"TMEM125",3.83761386281906
"CBS",3.47495218822203
"FUT3",3.49814181138035
"FAM174B",3.7482345034529
"CRYAB",-3.5903699241352
"LOX",3.36869591780422
"DDIT3",3.19538724723605
"FAM129A",3.46526806339138
"CADPS2",3.2822098551671
"ALDH1A3",-3.65442899809096
"HERPUD1",3.15841146921355
"ICAM1",3.43429035896379
"ICA1",3.3149131791996
"GDF15",3.0977948001915
"ADM2",3.10965622446226
"ZSCAN12P1",2.97839704586998
"C12orf39",3.04813371417529
"DERL3",2.95755866859961
"RGS16",3.03680085213139
"BCAT1",3.27367652243298
"ATF3",2.86142235564366
"KLHDC7B",3.15977409064469
"TES",2.80192783111717
"DAPP1",2.93304174813728
"IL1A",3.05959063559458
"SLFN5",2.82432617547929
"ERO1LB",2.77027065581528
"TRIB3",2.84369951592456
"CX3CL1",3.11196349944383
"HSP90B3P",2.72003609994747
"DNAJB9",2.68768989107335
"PYCR1",2.67817361260267
"ZNF165",2.68888837833296
"CRELD2",2.64418345091582
"XBP1",2.63793272812318
"SEC11C",2.66135825444234
"ASNS",2.63874666911151
"KDELR3",2.63033840951771
"SOCS3",2.65183296160538
"SDF2L1",2.62513836392771
"TRPV6",2.99782163298457
"SNTB1",2.70875368922576
"FLNC",-3.1740113680019
"PRSS16",2.75478794741419
"SEC24D",2.57937751693752
"CCL2",2.70091457211413
"EFR3B",2.84334356321013
"PCK2",2.5836269593161
"AGT",2.97256927785546
"CLDN4",-3.08746198432249
"LAMP3",2.66504310631412
"ST6GALNAC4",2.73088442285859
